Phone_Name,Phone_Price
"Samsung Galaxy A30s (Prism Crush Black, 128 GB)","₹19,900"
"Samsung Galaxy M40 (COCKTAIL ORANGE, 128 GB)","₹16,990"
"Samsung Galaxy M10S (Stainless Black, 32 GB)","₹9,100"
"Samsung Galaxy M10S (Metallic Blue, 32 GB)","₹8,990"
"Samsung Galaxy M30 (Blue, 32 GB)","₹10,399"
"Samsung Galaxy M30 (Black, 32 GB)","₹10,379"
"Samsung Galaxy M30s (Blue, 64 GB)","₹14,082"
"Samsung Galaxy M30s (White, 64 GB)","₹14,399"
"Samsung Galaxy M30s (Black, 64 GB)","₹14,140"
"Samsung Galaxy M30s (Black, 64 GB)","₹12,998"
"Samsung Galaxy A20s (Blue, 64 GB)","₹14,900"
"Samsung Galaxy A20s (Green, 32 GB)","₹12,900"
"Samsung Galaxy A20s (Green, 64 GB)","₹14,900"
"Samsung Galaxy A20s (Black, 32 GB)","₹12,900"
"Samsung Galaxy A50s (Prism Crush Violet, 128 GB)","₹18,570"
"Samsung Galaxy A50s (Prism Crush Violet, 128 GB)","₹26,900"
"Samsung Galaxy A30s (Prism Crush Violet, 64 GB)","₹18,900"
"Samsung Galaxy A30s (Prism Crush White, 64 GB)","₹18,900"
"Samsung Galaxy A50s (Prism Crush White, 128 GB)","₹26,900"
"Samsung Galaxy A50s (Prism Crush Black, 128 GB)","₹26,900"
"Samsung Galaxy A10s (Green, 32 GB)","₹11,000"
"Samsung Galaxy A10s (Black, 32 GB)","₹8,980"
"Samsung Galaxy A10s (Green, 32 GB)","₹8,980"
"Samsung Galaxy A10s (Blue, 32 GB)","₹8,980"
"Samsung Galaxy Note 10 Plus (Aura Glow, 512 GB)","₹94,700"
"Samsung Galaxy Note 10 (Aura Red, 256 GB)","₹75,000"
"Samsung Galaxy Note 10 Plus (Aura Black, 512 GB)","₹94,700"
"Samsung Galaxy Note 10 Plus (Aura Black, 256 GB)","₹85,000"
"Samsung Galaxy Note 10 Plus (Aura White, 256 GB)","₹85,000"
"Samsung Galaxy A8 Plus (Black, 64 GB)","₹16,860"
"Samsung Galaxy A2 Core (Gold, 16 GB)","₹5,900"
"Samsung Galaxy A2 Core (Dark Gray, 16 GB)","₹5,900"
"Samsung Galaxy A2 Core (Blue, 16 GB)","₹5,900"
"Samsung Galaxy M20 (Ocean Blue, 32 GB)","₹10,990"
"Samsung Galaxy M30 (Gradation Black, 64 GB)","₹13,589"
"Samsung Galaxy M30 (Gradation Black, 128 GB)","₹15,900"
"Samsung Galaxy M20 (Charcoal Black, 64 GB)","₹12,250"
"Samsung Galaxy M20 (Ocean Blue, 64 GB)","₹11,999"
"Samsung Galaxy M10 (Charcoal Black, 32 GB)","₹8,650"
"Samsung Galaxy M10 (Ocean Blue, 32 GB)","₹8,690"
"Samsung Galaxy M10 (Charcoal Black, 16 GB)","₹8,179"
"Samsung Galaxy A50 (Black, 64 GB)","₹15,499"
"Samsung Galaxy A50 (White, 64 GB)","₹15,499"
"Samsung Galaxy M20 (Ocean Blue, 32 GB)","₹11,090"
"Samsung Galaxy M10 (Ocean Blue, 16 GB)","₹8,190"
Samsung Guru FM Plus,"₹4,500"
"Samsung Galaxy S10 (Prism White, 128 GB)","₹57,800"
"Samsung Galaxy S10 Plus (Prism White, 128 GB)","₹65,200"
"Samsung Galaxy S9 Plus (Burgundy Red, 64 GB)","₹30,999"
"Samsung Galaxy S9 Plus (Burgundy Red, 128 GB)","₹68,900"
"Samsung Galaxy S9 Plus (Polaris Blue, 64 GB)","₹30,999"
"Samsung On5 Pro (Black, 16 GB)","₹6,990"
"Samsung Galaxy A9 (Lemonade Blue, 128 GB)","₹39,000"
"Samsung Galaxy A9 (Bubblegum Pink, 128 GB)","₹36,000"
"Samsung Galaxy A9 (Caviar Black, 128 GB)","₹36,000"
"Samsung Galaxy A9 (Caviar Black, 128 GB)","₹39,000"
"Samsung Galaxy A9 (Lemonade Blue, 128 GB)","₹36,000"
"Samsung Galaxy A7 (Black, 128 GB)","₹24,600"
"Samsung Galaxy A7 (Blue, 128 GB)","₹24,600"
"Samsung On5 Pro (Gold, 16 GB)","₹6,480"
"Samsung Galaxy A6 (Black, 32 GB)","₹12,499"
"Samsung Galaxy A7 (Black, 64 GB)","₹22,300"
"Samsung Galaxy A7 (Gold, 64 GB)","₹22,300"
"Samsung Galaxy J4 Plus (Black, 32 GB)","₹9,000"
"Samsung Galaxy J4 Plus (Blue, 32 GB)","₹9,000"
"Samsung On7 Pro (Black, 16 GB)","₹6,549"
